Soft Majority Vote Parameters,F2-PPS,F1-PPS,TPR,FNR,PPV,FDR,AUC-PR,BA,AUC-ROC,G-Mean,MCC,Log-Loss,BS,TNR,FPR,NPV,FOR,Accuracy,Weighted F1-Score,Weighted Precision,Weighted Recall,Macro F1-Score,Macro Precision,Macro Recall
"(0.4125, 0.5875) & 0.45",0.9265342531882039,0.9218316337633704,0.9300483091787439,0.06995169082125603,0.9154290947006618,0.08457090529933824,0.9654767263157747,0.9549000711150347,0.9861992172144456,0.9543225537617523,0.9042870131465708,0.12188799871991365,0.028180662131410204,0.9797518330513254,0.020248166948674574,0.9838566477492356,0.01614335225076431,0.9704142211428186,0.9704724107949655,0.9709648669927071,0.9704142211428186,0.9517897823216387,0.9496428712249487,0.9549000711150347
"(0.4125, 0.5875) & 0.4625",0.9265342531882039,0.9218316337633704,0.9300483091787439,0.06995169082125603,0.9154290947006618,0.08457090529933824,0.9654767263157747,0.9549000711150347,0.9861992172144456,0.9543225537617523,0.9042870131465708,0.12188799871991365,0.028180662131410204,0.9797518330513254,0.020248166948674574,0.9838566477492356,0.01614335225076431,0.9704142211428186,0.9704724107949655,0.9709648669927071,0.9704142211428186,0.9517897823216387,0.9496428712249487,0.9549000711150347
"(0.45, 0.55) & 0.4875",0.9265342531882039,0.9218316337633704,0.9300483091787439,0.06995169082125603,0.9154290947006618,0.08457090529933824,0.9654212150371724,0.9549000711150347,0.9861537243991447,0.9543225537617523,0.9042870131465708,0.12607106626426473,0.029457882656967898,0.9797518330513254,0.020248166948674574,0.9838566477492356,0.01614335225076431,0.9704142211428186,0.9704724107949655,0.9709648669927071,0.9704142211428186,0.9517897823216387,0.9496428712249487,0.9549000711150347
"(0.425, 0.575) & 0.4625",0.9265342531882039,0.9218316337633704,0.9300483091787439,0.06995169082125603,0.9154290947006618,0.08457090529933824,0.9653830621056899,0.9549000711150347,0.986132365118608,0.9543225537617523,0.9042870131465708,0.12325947886274558,0.028591888314571302,0.9797518330513254,0.020248166948674574,0.9838566477492356,0.01614335225076431,0.9704142211428186,0.9704724107949655,0.9709648669927071,0.9704142211428186,0.9517897823216387,0.9496428712249487,0.9549000711150347
"(0.4375, 0.5625) & 0.475",0.9265342531882039,0.9218316337633704,0.9300483091787439,0.06995169082125603,0.9154290947006618,0.08457090529933824,0.965328797477836,0.9549000711150347,0.9861317656815339,0.9543225537617523,0.9042870131465708,0.12465370479022453,0.029017628489757197,0.9797518330513254,0.020248166948674574,0.9838566477492356,0.01614335225076431,0.9704142211428186,0.9704724107949655,0.9709648669927071,0.9704142211428186,0.9517897823216387,0.9496428712249487,0.9549000711150347
"(0.5125, 0.4875) & 0.4625",0.9265139320199236,0.9092773341220546,0.938743961352657,0.06125603864734299,0.883147961423667,0.11685203857633297,0.9649205466885918,0.9546973152402419,0.9860437078799471,0.9544183565980419,0.8886596701478806,0.1335216520876754,0.0318768633733934,0.9706506691278266,0.029349330872173486,0.9856857893545076,0.014314210645492497,0.9646663968157594,0.9651232578956026,0.9663961014253426,0.9646663968157594,0.9436653684608469,0.9344168753890874,0.9546973152402419
"(0.4625, 0.5375) & 0.4",0.9263454977810103,0.8966899368205071,0.9475362318840579,0.05246376811594202,0.8521710886463998,0.14782891135360024,0.9653543721483441,0.9545428685441927,0.9861317656815338,0.954370061673458,0.8735756466774598,0.1275119956830634,0.029912650816203402,0.9615495052043276,0.03845049479567246,0.9876059429144803,0.01239405708551975,0.9589185724887,0.9597500459269526,0.9621336773213999,0.9589185724887,0.9355226137771451,0.9198885157804402,0.9545428685441927
"(0.5875, 0.4125) & 0.475",0.9263185341154099,0.8966418870439792,0.9474396135265701,0.052560386473429935,0.8518408919940148,0.14815910800598533,0.9635998362284148,0.9544919956573013,0.9857319361990886,0.954334925464216,0.8733972401803813,0.14334833843698347,0.03525860196992246,0.9615443777880326,0.03845562221196737,0.9875953206838893,0.012404679316110601,0.9589219456250421,0.9597427540529255,0.9620346992041713,0.9589219456250421,0.935501258114769,0.919718106338952,0.9544919956573013
"(0.6125, 0.3875) & 0.4375",0.9262543166513513,0.8849546076898711,0.956231884057971,0.043768115942028965,0.8243506493506494,0.17564935064935064,0.9628567993104895,0.9543349852531049,0.9855553326244124,0.9542381392992054,0.8598597944870171,0.14686917532289553,0.03650196010496389,0.9524380864482387,0.047561913551761294,0.9895383217288188,0.010461678271181118,0.9531707481616408,0.9544835317366618,0.9584461654209562,0.9531707481616408,0.9277747777741832,0.9069444855397342,0.9543349852531049
"(0.4875, 0.5125) & 0.425",0.9259456957986624,0.9017153482785304,0.9430917874396135,0.05690821256038647,0.8648105314138748,0.13518946858612513,0.9650460253795323,0.95434341205032,0.9860656665975579,0.9541150890335792,0.8794587900361315,0.13046651305041998,0.030865729110748797,0.9655950366610264,0.03440496333897347,0.9866391281696562,0.013360871830343934,0.9613809620184848,0.962005173140058,0.9637217257455543,0.9613809620184848,0.9388393640214823,0.9257248297917655,0.95434341205032
"(0.525, 0.475) & 0.45",0.9259333261030832,0.9017768442526691,0.9430917874396135,0.05690821256038647,0.8651796808647184,0.13482031913528156,0.9648302295283315,0.9543408483421725,0.9860217491623363,0.9540933784975886,0.8796181043848736,0.13508855740108802,0.03240420149275291,0.9655899092447315,0.034410090755268394,0.9866545484590598,0.013345451540940268,0.9613809620184848,0.9620065101769006,0.963789235422212,0.9613809620184848,0.9388672974056114,0.925917114661889,0.9543408483421725
"(0.5625, 0.4375) & 0.475",0.9259333261030832,0.9017768442526691,0.9430917874396135,0.05690821256038647,0.8651796808647184,0.13482031913528156,0.9640445951727588,0.9543408483421725,0.9858430401268627,0.9540933784975886,0.8796181043848736,0.13995575869933619,0.03407329980298024,0.9655899092447315,0.034410090755268394,0.9866545484590598,0.013345451540940268,0.9613809620184848,0.9620065101769006,0.963789235422212,0.9613809620184848,0.9388672974056114,0.925917114661889,0.9543408483421725
"(0.5625, 0.4375) & 0.3875",0.9258359709278471,0.8785398298891325,0.9605797101449275,0.03942028985507244,0.8102844586110306,0.18971554138896937,0.9640445951727588,0.9539810820631832,0.9858430401268627,0.9538791133951877,0.8525738323396178,0.13995575869933619,0.03407329980298024,0.9473824539814387,0.05261754601856121,0.9905192195584167,0.009480780441583247,0.9498886865007083,0.9515168201159845,0.9565986311259698,0.9498886865007083,0.9234815908504652,0.9004018390847237,0.9539810820631832
"(0.575, 0.425) & 0.3875",0.9258359709278471,0.8785398298891325,0.9605797101449275,0.03942028985507244,0.8102844586110306,0.18971554138896937,0.9638815516944979,0.9539810820631832,0.9857988997604977,0.9538791133951877,0.8525738323396178,0.14163660092906566,0.03465869389043895,0.9473824539814387,0.05261754601856121,0.9905192195584167,0.009480780441583247,0.9498886865007083,0.9515168201159845,0.9565986311259698,0.9498886865007083,0.9234815908504652,0.9004018390847237,0.9539810820631832
"(0.5875, 0.4125) & 0.4",0.9258359709278471,0.8785398298891325,0.9605797101449275,0.03942028985507244,0.8102844586110306,0.18971554138896937,0.9635998362284148,0.9539810820631832,0.9857319361990886,0.9538791133951877,0.8525738323396178,0.14334833843698347,0.03525860196992246,0.9473824539814387,0.05261754601856121,0.9905192195584167,0.009480780441583247,0.9498886865007083,0.9515168201159845,0.9565986311259698,0.9498886865007083,0.9234815908504652,0.9004018390847237,0.9539810820631832
